INFO 2019-12-03 21:52:40,173 autoreload 597 Watching for file changes with StatReloader
INFO 2019-12-03 21:57:27,204 basehttp 154 "GET /xadmin/course/course/ HTTP/1.1" 200 4368
INFO 2019-12-03 21:57:27,328 basehttp 154 "GET /xadmin/jsi18n/ HTTP/1.1" 200 4361
INFO 2019-12-03 21:57:31,162 basehttp 154 "POST /xadmin/course/course/ HTTP/1.1" 200 4605
INFO 2019-12-03 21:57:31,215 basehttp 154 "GET /xadmin/jsi18n/ HTTP/1.1" 200 4361
INFO 2019-12-03 21:59:14,344 basehttp 154 "POST /xadmin/course/course/ HTTP/1.1" 302 0
INFO 2019-12-03 21:59:14,518 basehttp 154 "GET /xadmin/course/course/ HTTP/1.1" 200 30634
INFO 2019-12-03 21:59:14,623 basehttp 154 "GET /xadmin/jsi18n/ HTTP/1.1" 200 7722
INFO 2019-12-03 21:59:17,455 basehttp 154 "GET /xadmin/course/college/ HTTP/1.1" 200 27861
INFO 2019-12-03 21:59:17,499 basehttp 154 "GET /xadmin/jsi18n/ HTTP/1.1" 200 7722
INFO 2019-12-03 21:59:21,066 basehttp 154 "GET /xadmin/home/banner/ HTTP/1.1" 200 29139
INFO 2019-12-03 21:59:21,113 basehttp 154 "GET /xadmin/jsi18n/ HTTP/1.1" 200 7722
INFO 2019-12-03 21:59:22,440 basehttp 154 "GET /xadmin/home/banner/add/ HTTP/1.1" 200 24619
INFO 2019-12-03 21:59:22,491 basehttp 154 "GET /xadmin/jsi18n/ HTTP/1.1" 200 7722
INFO 2019-12-03 22:02:28,510 basehttp 154 "POST /xadmin/home/banner/add/ HTTP/1.1" 302 0
INFO 2019-12-03 22:02:28,722 basehttp 154 "GET /xadmin/home/banner/add/ HTTP/1.1" 200 24980
INFO 2019-12-03 22:02:28,770 basehttp 154 "GET /xadmin/jsi18n/ HTTP/1.1" 200 7722
INFO 2019-12-03 22:02:47,168 basehttp 154 "POST /xadmin/home/banner/add/ HTTP/1.1" 302 0
INFO 2019-12-03 22:02:47,361 basehttp 154 "GET /xadmin/home/banner/add/ HTTP/1.1" 200 24983
INFO 2019-12-03 22:02:47,406 basehttp 154 "GET /xadmin/jsi18n/ HTTP/1.1" 200 7722
INFO 2019-12-03 22:03:00,682 basehttp 154 "POST /xadmin/home/banner/add/ HTTP/1.1" 302 0
INFO 2019-12-03 22:03:00,810 basehttp 154 "GET /xadmin/home/banner/add/ HTTP/1.1" 200 24980
